Region,Division_IPC,Fecha,Valor_IPC
Nacional,Nivel general,2016-12-01,100.0
Nacional,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
Nacional,Bebidas alcohólicas y tabaco,2016-12-01,100.0
Nacional,Prendas de vestir y calzado,2016-12-01,100.0
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2016-12-01,100.0
Nacional,Equipamiento y mantenimiento del hogar,2016-12-01,100.0
Nacional,Salud,2016-12-01,100.0
Nacional,Transporte,2016-12-01,100.0
Nacional,Comunicación,2016-12-01,100.0
Nacional,Recreación y cultura,2016-12-01,100.0
Nacional,Educación,2016-12-01,100.0
Nacional,Restaurantes y hoteles,2016-12-01,100.0
Nacional,Bienes y servicios varios,2016-12-01,100.0
GBA,Nivel general,2016-12-01,100.0
GBA,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
GBA,Bebidas alcohólicas y tabaco,2016-12-01,100.0
GBA,Prendas de vestir y calzado,2016-12-01,100.0
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2016-12-01,100.0
GBA,Equipamiento y mantenimiento del hogar,2016-12-01,100.0
GBA,Salud,2016-12-01,100.0
GBA,Transporte,2016-12-01,100.0
GBA,Comunicación,2016-12-01,100.0
GBA,Recreación y cultura,2016-12-01,100.0
GBA,Educación,2016-12-01,100.0
GBA,Restaurantes y hoteles,2016-12-01,100.0
GBA,Bienes y servicios varios,2016-12-01,100.0
Pampeana,Nivel general,2016-12-01,100.0
Pampeana,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
Pampeana,Bebidas alcohólicas y tabaco,2016-12-01,100.0
Pampeana,Prendas de vestir y calzado,2016-12-01,100.0
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2016-12-01,100.0
Pampeana,Equipamiento y mantenimiento del hogar,2016-12-01,100.0
Pampeana,Salud,2016-12-01,100.0
Pampeana,Transporte,2016-12-01,100.0
Pampeana,Comunicación,2016-12-01,100.0
Pampeana,Recreación y cultura,2016-12-01,100.0
Pampeana,Educación,2016-12-01,100.0
Pampeana,Restaurantes y hoteles,2016-12-01,100.0
Pampeana,Bienes y servicios varios,2016-12-01,100.0
Noroeste,Nivel general,2016-12-01,100.0
Noroeste,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
Noroeste,Bebidas alcohólicas y tabaco,2016-12-01,100.0
Noroeste,Prendas de vestir y calzado,2016-12-01,100.0
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2016-12-01,100.0
Noroeste,Equipamiento y mantenimiento del hogar,2016-12-01,100.0
Noroeste,Salud,2016-12-01,100.0
Noroeste,Transporte,2016-12-01,100.0
Noroeste,Comunicación,2016-12-01,100.0
Noroeste,Recreación y cultura,2016-12-01,100.0
Noroeste,Educación,2016-12-01,100.0
Noroeste,Restaurantes y hoteles,2016-12-01,100.0
Noroeste,Bienes y servicios varios,2016-12-01,100.0
Noreste,Nivel general,2016-12-01,100.0
Noreste,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
Noreste,Bebidas alcohólicas y tabaco,2016-12-01,100.0
Noreste,Prendas de vestir y calzado,2016-12-01,100.0
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2016-12-01,100.0
Noreste,Equipamiento y mantenimiento del hogar,2016-12-01,100.0
Noreste,Salud,2016-12-01,100.0
Noreste,Transporte,2016-12-01,100.0
Noreste,Comunicación,2016-12-01,100.0
Noreste,Recreación y cultura,2016-12-01,100.0
Noreste,Educación,2016-12-01,100.0
Noreste,Restaurantes y hoteles,2016-12-01,100.0
Noreste,Bienes y servicios varios,2016-12-01,100.0
Cuyo,Nivel general,2016-12-01,100.0
Cuyo,Alimentos y bebidas no alcohólicas,2016-12-01,100.0
Cuyo,Bebidas alcohólicas y tabaco,2016-12-01,100.0
