Region,Division_IPC,Fecha,Valor_IPC
Nacional,Nivel general,2017-12-01,24.8
Nacional,Alimentos y bebidas no alcohólicas,2017-12-01,20.4
Nacional,Bebidas alcohólicas y tabaco,2017-12-01,23.7
Nacional,Prendas de vestir y calzado,2017-12-01,16.6
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,55.6
Nacional,Equipamiento y mantenimiento del hogar,2017-12-01,17.4
Nacional,Salud,2017-12-01,27.8
Nacional,Transporte,2017-12-01,20.6
Nacional,Comunicación,2017-12-01,34.1
Nacional,Recreación y cultura,2017-12-01,22.8
Nacional,Educación,2017-12-01,31.5
Nacional,Restaurantes y hoteles,2017-12-01,22.1
Nacional,Bienes y servicios varios,2017-12-01,19.8
GBA,Nivel general,2017-12-01,25.0
GBA,Alimentos y bebidas no alcohólicas,2017-12-01,21.6
GBA,Bebidas alcohólicas y tabaco,2017-12-01,24.1
GBA,Prendas de vestir y calzado,2017-12-01,15.7
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,54.7
GBA,Equipamiento y mantenimiento del hogar,2017-12-01,17.7
GBA,Salud,2017-12-01,27.2
GBA,Transporte,2017-12-01,17.5
GBA,Comunicación,2017-12-01,34.2
GBA,Recreación y cultura,2017-12-01,21.5
GBA,Educación,2017-12-01,29.7
GBA,Restaurantes y hoteles,2017-12-01,22.7
GBA,Bienes y servicios varios,2017-12-01,19.7
Pampeana,Nivel general,2017-12-01,25.0
Pampeana,Alimentos y bebidas no alcohólicas,2017-12-01,19.1
Pampeana,Bebidas alcohólicas y tabaco,2017-12-01,23.7
Pampeana,Prendas de vestir y calzado,2017-12-01,19.1
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,56.4
Pampeana,Equipamiento y mantenimiento del hogar,2017-12-01,18.0
Pampeana,Salud,2017-12-01,29.0
Pampeana,Transporte,2017-12-01,22.9
Pampeana,Comunicación,2017-12-01,35.3
Pampeana,Recreación y cultura,2017-12-01,23.6
Pampeana,Educación,2017-12-01,31.9
Pampeana,Restaurantes y hoteles,2017-12-01,22.9
Pampeana,Bienes y servicios varios,2017-12-01,20.2
Noroeste,Nivel general,2017-12-01,24.3
Noroeste,Alimentos y bebidas no alcohólicas,2017-12-01,20.6
Noroeste,Bebidas alcohólicas y tabaco,2017-12-01,21.5
Noroeste,Prendas de vestir y calzado,2017-12-01,17.8
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,63.7
Noroeste,Equipamiento y mantenimiento del hogar,2017-12-01,16.5
Noroeste,Salud,2017-12-01,25.6
Noroeste,Transporte,2017-12-01,23.0
Noroeste,Comunicación,2017-12-01,35.3
Noroeste,Recreación y cultura,2017-12-01,24.7
Noroeste,Educación,2017-12-01,39.7
Noroeste,Restaurantes y hoteles,2017-12-01,18.6
Noroeste,Bienes y servicios varios,2017-12-01,17.4
Noreste,Nivel general,2017-12-01,22.3
Noreste,Alimentos y bebidas no alcohólicas,2017-12-01,20.5
Noreste,Bebidas alcohólicas y tabaco,2017-12-01,26.1
Noreste,Prendas de vestir y calzado,2017-12-01,13.2
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,43.0
Noreste,Equipamiento y mantenimiento del hogar,2017-12-01,15.1
Noreste,Salud,2017-12-01,25.7
Noreste,Transporte,2017-12-01,21.9
Noreste,Comunicación,2017-12-01,31.0
Noreste,Recreación y cultura,2017-12-01,23.0
Noreste,Educación,2017-12-01,33.4
Noreste,Restaurantes y hoteles,2017-12-01,19.8
Noreste,Bienes y servicios varios,2017-12-01,21.4
Cuyo,Nivel general,2017-12-01,25.5
Cuyo,Alimentos y bebidas no alcohólicas,2017-12-01,21.4
Cuyo,Bebidas alcohólicas y tabaco,2017-12-01,22.9
Cuyo,Prendas de vestir y calzado,2017-12-01,11.7
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,65.1
Cuyo,Equipamiento y mantenimiento del hogar,2017-12-01,16.6
Cuyo,Salud,2017-12-01,30.2
Cuyo,Transporte,2017-12-01,25.0
Cuyo,Comunicación,2017-12-01,32.0
Cuyo,Recreación y cultura,2017-12-01,23.7
Cuyo,Educación,2017-12-01,32.6
Cuyo,Restaurantes y hoteles,2017-12-01,19.9
Cuyo,Bienes y servicios varios,2017-12-01,19.6
Patagonia,Nivel general,2017-12-01,23.5
Patagonia,Alimentos y bebidas no alcohólicas,2017-12-01,16.9
Patagonia,Bebidas alcohólicas y tabaco,2017-12-01,22.5
Patagonia,Prendas de vestir y calzado,2017-12-01,14.6
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-12-01,48.8
Patagonia,Equipamiento y mantenimiento del hogar,2017-12-01,15.9
Patagonia,Salud,2017-12-01,28.1
Patagonia,Transporte,2017-12-01,27.1
Patagonia,Comunicación,2017-12-01,28.7
Patagonia,Recreación y cultura,2017-12-01,24.5
Patagonia,Educación,2017-12-01,29.2
Patagonia,Restaurantes y hoteles,2017-12-01,21.7
Patagonia,Bienes y servicios varios,2017-12-01,20.9
Nacional,Nivel general,2018-01-01,25.0
Nacional,Alimentos y bebidas no alcohólicas,2018-01-01,21.3
Nacional,Bebidas alcohólicas y tabaco,2018-01-01,25.4
Nacional,Prendas de vestir y calzado,2018-01-01,16.9
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,54.9
Nacional,Equipamiento y mantenimiento del hogar,2018-01-01,17.6
Nacional,Salud,2018-01-01,27.1
Nacional,Transporte,2018-01-01,20.7
Nacional,Comunicación,2018-01-01,32.6
Nacional,Recreación y cultura,2018-01-01,23.1
Nacional,Educación,2018-01-01,31.3
Nacional,Restaurantes y hoteles,2018-01-01,21.9
Nacional,Bienes y servicios varios,2018-01-01,20.4
GBA,Nivel general,2018-01-01,25.4
GBA,Alimentos y bebidas no alcohólicas,2018-01-01,23.1
GBA,Bebidas alcohólicas y tabaco,2018-01-01,26.1
GBA,Prendas de vestir y calzado,2018-01-01,16.1
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,52.3
GBA,Equipamiento y mantenimiento del hogar,2018-01-01,18.0
GBA,Salud,2018-01-01,27.8
GBA,Transporte,2018-01-01,17.9
GBA,Comunicación,2018-01-01,31.6
GBA,Recreación y cultura,2018-01-01,22.2
GBA,Educación,2018-01-01,29.3
GBA,Restaurantes y hoteles,2018-01-01,22.6
GBA,Bienes y servicios varios,2018-01-01,21.0
Pampeana,Nivel general,2018-01-01,25.1
Pampeana,Alimentos y bebidas no alcohólicas,2018-01-01,19.8
Pampeana,Bebidas alcohólicas y tabaco,2018-01-01,25.2
Pampeana,Prendas de vestir y calzado,2018-01-01,19.7
