Region,Division_IPC,Fecha,Valor_IPC
Nacional,Nivel general,2017-01-01,1.6
Nacional,Alimentos y bebidas no alcohólicas,2017-01-01,1.3
Nacional,Bebidas alcohólicas y tabaco,2017-01-01,0.9
Nacional,Prendas de vestir y calzado,2017-01-01,-1.0
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,1.5
Nacional,Equipamiento y mantenimiento del hogar,2017-01-01,0.9
Nacional,Salud,2017-01-01,2.4
Nacional,Transporte,2017-01-01,2.1
Nacional,Comunicación,2017-01-01,3.1
Nacional,Recreación y cultura,2017-01-01,3.2
Nacional,Educación,2017-01-01,0.8
Nacional,Restaurantes y hoteles,2017-01-01,3.1
Nacional,Bienes y servicios varios,2017-01-01,1.9
GBA,Nivel general,2017-01-01,1.3
GBA,Alimentos y bebidas no alcohólicas,2017-01-01,1.3
GBA,Bebidas alcohólicas y tabaco,2017-01-01,0.5
GBA,Prendas de vestir y calzado,2017-01-01,-2.1
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,0.0
GBA,Equipamiento y mantenimiento del hogar,2017-01-01,0.9
GBA,Salud,2017-01-01,1.4
GBA,Transporte,2017-01-01,1.8
GBA,Comunicación,2017-01-01,3.8
GBA,Recreación y cultura,2017-01-01,3.2
GBA,Educación,2017-01-01,0.5
GBA,Restaurantes y hoteles,2017-01-01,3.3
GBA,Bienes y servicios varios,2017-01-01,2.1
Pampeana,Nivel general,2017-01-01,1.8
Pampeana,Alimentos y bebidas no alcohólicas,2017-01-01,1.3
Pampeana,Bebidas alcohólicas y tabaco,2017-01-01,1.3
Pampeana,Prendas de vestir y calzado,2017-01-01,-0.4
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,2.2
Pampeana,Equipamiento y mantenimiento del hogar,2017-01-01,0.8
Pampeana,Salud,2017-01-01,3.2
Pampeana,Transporte,2017-01-01,2.4
Pampeana,Comunicación,2017-01-01,2.1
Pampeana,Recreación y cultura,2017-01-01,3.6
Pampeana,Educación,2017-01-01,0.4
Pampeana,Restaurantes y hoteles,2017-01-01,3.1
Pampeana,Bienes y servicios varios,2017-01-01,1.6
Noroeste,Nivel general,2017-01-01,1.6
Noroeste,Alimentos y bebidas no alcohólicas,2017-01-01,1.0
Noroeste,Bebidas alcohólicas y tabaco,2017-01-01,1.3
Noroeste,Prendas de vestir y calzado,2017-01-01,0.5
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,1.6
Noroeste,Equipamiento y mantenimiento del hogar,2017-01-01,0.4
Noroeste,Salud,2017-01-01,2.7
Noroeste,Transporte,2017-01-01,2.9
Noroeste,Comunicación,2017-01-01,4.1
Noroeste,Recreación y cultura,2017-01-01,3.4
Noroeste,Educación,2017-01-01,0.5
Noroeste,Restaurantes y hoteles,2017-01-01,2.5
Noroeste,Bienes y servicios varios,2017-01-01,2.0
Noreste,Nivel general,2017-01-01,1.7
Noreste,Alimentos y bebidas no alcohólicas,2017-01-01,1.7
Noreste,Bebidas alcohólicas y tabaco,2017-01-01,0.8
